User ID,204223627,,,,,,,,,,,,,,
As of date,"Nov. 10, 2025, 7:24:06 p.m. NST",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note,Cells marked with a red triangle provide additional information.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Allocation date,Plan,Instrument type,Instrument,Contribution type,Strike price / Cost basis,Market price,CRA average cost basis,CRA book value,Available from,Expiry date,Allocated quantity,Outstanding quantity,Available quantity,Estimated current outstanding value,Estimated current available value
2025-03-24,Employee Share Purchase Plan,shares of stock,ESPP-Match Shares,Company match,17.6879,16.52,17.941849,825.64,2025-03-24,2999-12-31 23:59:59,46.01733,46.01733,46.01733,760.2,760.2
2025-04-17,Employee Share Purchase Plan,shares of stock,ESPP-Dividend Shares,Dividend,16.84656,16.52,17.941849,2.94,2025-04-17,2999-12-31 23:59:59,0.16389,0.16389,0.16389,2.7,2.7
2025-05-20,Employee Share Purchase Plan,shares of stock,ESPP-Dividend Shares,Dividend,18.35801,16.52,17.941849,2.71,2025-05-20,2999-12-31 23:59:59,0.15093,0.15093,0.15093,2.49,2.49
2025-06-17,Employee Share Purchase Plan,shares of stock,ESPP-Dividend Shares,Dividend,19.34154,16.52,17.941849,2.58,2025-06-17,2999-12-31 23:59:59,0.14372,0.14372,0.14372,2.37,2.37
2025-07-17,Employee Share Purchase Plan,shares of stock,ESPP-Dividend Shares,Dividend,19.27543,16.52,17.941849,2.6,2025-07-17,2999-12-31 23:59:59,0.14466,0.14466,0.14466,2.38,2.38
2025-08-19,Employee Share Purchase Plan,shares of stock,ESPP-Dividend Shares,Dividend,17.66,16.52,17.941849,2.84,2025-08-19,2999-12-31 23:59:59,0.15839,0.15839,0.15839,2.61,2.61
2025-09-12,Employee Share Purchase Plan,shares of stock,ESPP-Match Shares,Company match,18.2098,16.52,17.941849,773.99,2025-09-12,2999-12-31 23:59:59,43.13886,43.13886,43.13886,712.65,712.65
2025-09-17,Employee Share Purchase Plan,shares of stock,ESPP-Dividend Shares,Dividend,18.23355,16.52,17.941849,2.76,2025-09-17,2999-12-31 23:59:59,0.15393,0.15393,0.15393,2.54,2.54
2025-10-17,Employee Share Purchase Plan,shares of stock,ESPP-Dividend Shares,Dividend,17.45576,16.52,17.941849,5.55,2025-10-17,2999-12-31 23:59:59,0.30959,0.30959,0.30959,5.11,5.11
2025-05-16,Tax Free Savings Account,shares of stock,TFSA-Match Shares,Company match,18.0501,16.52,,,2025-05-16,2999-12-31 23:59:59,20.51235,20.51235,20.51235,338.86,338.86
